"Table 1.2 Occupational projections, 2023–33, and worker characteristics, 2023 (Numbers in thousands)",,,,,,,,,,,,,,,
2023 National Employment Matrix title,2023 National Employment Matrix code,Occupation type,"Employment, 2023","Employment, 2033","Employment distribution, percent, 2023","Employment distribution, percent, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Percent self employed, 2023","Occupational openings, 2023–33 annual average","Median annual wage, dollars, 2023[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content
      Human resources workers,13-1070,Summary,"1,001.0","1,075.1",0.6,0.6,74.1,7.4,1.4,91.7,"69,520",—,—,—,—
        Human resources specialists,13-1071,Line item,933.7,"1,007.9",0.6,0.6,74.2,7.9,1.4,86.2,"67,650",Bachelor's degree,None,None,OOH Content
        Farm labor contractors,13-1074,Line item,1.5,1.6,0.0,0.0,0.1,6.6,—,0.1,"45,730",No formal educational credential,Less than 5 years,Short-term on-the-job training,—
        Labor relations specialists,13-1075,Line item,65.8,65.6,0.0,0.0,-0.2,-0.3,1.4,5.3,"89,980",Bachelor's degree,Less than 5 years,None,OOH Content
      Logisticians and project management specialists,13-1080,Summary,"1,210.7","1,326.3",0.7,0.8,115.6,9.6,0.5,103.2,"94,630",—,—,—,—
        Logisticians,13-1081,Line item,237.1,282.9,0.1,0.2,45.8,19.3,0.9,26.1,"79,400",Bachelor's degree,None,None,OOH Content
        Project management specialists,13-1082,Line item,973.6,"1,043.4",0.6,0.6,69.9,7.2,0.4,77.0,"98,580",Bachelor's degree,None,None,OOH Content
      Management analysts,13-1111,Line item,"1,018.3","1,126.2",0.6,0.6,107.9,10.6,14.4,95.7,"99,410",Bachelor's degree,Less than 5 years,None,OOH Content
"      Meeting, convention, and event planners",13-1121,Line item,149.0,158.9,0.1,0.1,9.9,6.6,9.1,16.5,"56,920",Bachelor's degree,None,None,OOH Content
      Fundraisers,13-1131,Line item,125.9,133.3,0.1,0.1,7.4,5.9,0.7,10.0,"64,160",Bachelor's degree,None,None,OOH Content
"      Compensation, benefits, and job analysis specialists",13-1141,Line item,103.7,111.0,0.1,0.1,7.2,7.0,0.5,8.2,"74,530",Bachelor's degree,Less than 5 years,None,OOH Content
      Training and development specialists,13-1151,Line item,420.1,468.6,0.3,0.3,48.5,11.5,0.3,42.2,"64,340",Bachelor's degree,Less than 5 years,None,OOH Content
      Market research analysts and marketing specialists,13-1161,Line item,903.4,978.3,0.5,0.6,74.9,8.3,3.6,88.5,"74,680",Bachelor's degree,None,None,OOH Content
"      Business operations specialists, all other",13-1199,Line item,"1,181.5","1,245.3",0.7,0.7,63.8,5.4,1.4,107.4,"79,590",Bachelor's degree,None,None,—
    Financial specialists,13-2000,Summary,"3,333.5","3,548.8",2.0,2.0,215.3,6.5,5.0,269.4,"80,090",—,—,—,—
      Accountants and auditors,13-2011,Line item,"1,562.0","1,653.4",0.9,0.9,91.4,5.8,4.0,130.8,"79,880",Bachelor's degree,None,None,OOH Content
      Property appraisers and assessors,13-2020,Line item,83.9,87.1,0.0,0.0,3.2,3.9,23.7,6.9,"61,630",Bachelor's degree,None,Long-term on-the-job training,OOH Content
      Budget analysts,13-2031,Line item,50.8,52.7,0.0,0.0,2.0,3.9,0.4,3.4,"84,940",Bachelor's degree,None,None,OOH Content
      Credit analysts,13-2041,Line item,73.7,70.8,0.0,0.0,-2.8,-3.9,—,4.6,"79,420",Bachelor's degree,None,None,—
      Financial analysts and advisors,13-2050,Summary,844.2,932.4,0.5,0.5,88.2,10.5,6.6,65.4,"97,450",—,—,—,—
        Financial and investment analysts,13-2051,Line item,347.4,380.5,0.2,0.2,33.1,9.5,3.5,26.1,"99,010",Bachelor's degree,None,None,OOH Content
        Personal financial advisors,13-2052,Line item,321.0,375.9,0.2,0.2,55.0,17.1,13.2,27.0,"99,580",Bachelor's degree,None,Long-term on-the-job training,OOH Content
        Insurance underwriters,13-2053,Line item,118.4,113.7,0.1,0.1,-4.7,-4.0,0.4,7.8,"77,860",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
        Financial risk specialists,13-2054,Line item,57.5,62.3,0.0,0.0,4.8,8.4,1.4,4.6,"106,090",Bachelor's degree,None,None,OOH Content
      Financial examiners,13-2061,Line item,65.5,79.2,0.0,0.0,13.8,21.0,—,6.5,"84,300",Bachelor's degree,None,Long-term on-the-job training,OOH Content
      Credit counselors and loan officers,13-2070,Summary,365.9,372.0,0.2,0.2,6.1,1.7,2.8,25.3,"65,280",—,—,—,—
        Credit counselors,13-2071,Line item,31.8,33.3,0.0,0.0,1.5,4.9,2.0,2.3,"48,570",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
        Loan officers,13-2072,Line item,334.1,338.7,0.2,0.2,4.5,1.4,2.8,22.9,"69,990",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,OOH Content
"      Tax examiners, collectors and preparers, and revenue agents",13-2080,Summary,157.8,163.2,0.1,0.1,5.4,3.4,11.8,16.4,"54,080",—,—,—,—
"        Tax examiners and collectors, and revenue agents",13-2081,Line item,54.0,55.0,0.0,0.0,1.0,1.9,—,4.1,"58,530",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
        Tax preparers,13-2082,Line item,103.8,108.2,0.1,0.1,4.4,4.2,17.9,12.2,"49,010",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"      Financial specialists, all other",13-2099,Line item,129.8,137.9,0.1,0.1,8.1,6.2,1.0,10.1,"78,310",Bachelor's degree,None,None,—
  Computer and mathematical occupations,15-0000,Summary,"5,417.6","6,116.7",3.2,3.5,699.0,12.9,2.1,393.9,"104,200",—,—,—,—
    Computer occupations,15-1200,Summary,"5,021.8","5,608.5",3.0,3.2,586.8,11.7,2.2,356.7,"104,420",—,—,—,—
      Computer and information analysts,15-1210,Summary,708.0,823.6,0.4,0.5,115.6,16.3,2.2,54.6,"105,830",—,—,—,—
        Computer systems analysts,15-1211,Line item,527.2,583.7,0.3,0.3,56.5,10.7,2.6,37.3,"103,800",Bachelor's degree,None,None,OOH Content
        Information security analysts,15-1212,Line item,180.7,239.8,0.1,0.1,59.1,32.7,1.2,17.3,"120,360",Bachelor's degree,Less than 5 years,None,OOH Content
      Computer and information research scientists,15-1221,Line item,36.6,46.0,0.0,0.0,9.4,25.6,—,3.4,"145,080",Master's degree,None,None,OOH Content
      Computer support specialists,15-1230,Summary,892.0,941.3,0.5,0.5,49.3,5.5,2.3,62.7,"60,810",—,—,—,—
        Computer network support specialists,15-1231,Line item,166.7,178.8,0.1,0.1,12.1,7.3,2.2,12.1,"71,530",Associate's degree,None,Moderate-term on-the-job training,OOH Content
        Computer user support specialists,15-1232,Line item,725.3,762.5,0.4,0.4,37.2,5.1,2.3,50.6,"59,240","Some college, no degree",None,Moderate-term on-the-job training,OOH Content
      Database and network administrators and architects,15-1240,Summary,655.1,683.4,0.4,0.4,28.3,4.3,0.3,38.2,"105,720",—,—,—,—
        Computer network architects,15-1241,Line item,177.8,201.7,0.1,0.1,23.9,13.4,1.0,12.3,"129,840",Bachelor's degree,5 years or more,None,OOH Content
        Database administrators,15-1242,Line item,80.5,87.1,0.0,0.0,6.6,8.2,0.3,5.3,"101,510",Bachelor's degree,None,None,OOH Content
        Database architects,15-1243,Line item,61.4,68.0,0.0,0.0,6.6,10.8,0.3,4.2,"134,700",Bachelor's degree,Less than 5 years,None,OOH Content
        Network and computer systems administrators,15-1244,Line item,335.4,326.6,0.2,0.2,-8.8,-2.6,—,16.4,"95,360",Bachelor's degree,None,None,OOH Content
"      Software and web developers, programmers, and testers",15-1250,Summary,"2,259.2","2,592.3",1.3,1.5,333.1,14.7,2.4,163.0,"127,120",—,—,—,—
        Computer programmers,15-1251,Line item,139.4,126.0,0.1,0.1,-13.4,-9.6,11.2,6.4,"99,700",Bachelor's degree,None,None,OOH Content
        Software developers,15-1252,Line item,"1,692.1","1,995.7",1.0,1.1,303.7,17.9,1.1,125.1,"132,270",Bachelor's degree,None,None,OOH Content
        Software quality assurance analysts and testers,15-1253,Line item,205.0,229.2,0.1,0.1,24.2,11.8,—,15.0,"101,800",Bachelor's degree,None,None,OOH Content
        Web developers,15-1254,Line item,94.1,102.5,0.1,0.1,8.5,9.0,6.4,6.6,"84,960",Bachelor's degree,None,None,OOH Content
        Web and digital interface designers,15-1255,Line item,128.6,138.8,0.1,0.1,10.2,7.9,10.0,9.9,"98,540",Bachelor's degree,None,None,OOH Content
"      Computer occupations, all other",15-1299,Line item,470.9,522.0,0.3,0.3,51.1,10.8,3.9,34.8,"104,920",Bachelor's degree,None,None,—
    Mathematical science occupations,15-2000,Summary,395.9,508.1,0.2,0.3,112.3,28.4,1.1,37.1,"101,460",—,—,—,—
      Actuaries,15-2011,Line item,30.2,36.8,0.0,0.0,6.6,21.8,—,2.2,"120,000",Bachelor's degree,None,Long-term on-the-job training,OOH Content
      Mathematicians,15-2021,Line item,2.5,2.5,0.0,0.0,0.1,3.7,—,0.2,"116,440",Master's degree,None,None,OOH Content
      Operations research analysts,15-2031,Line item,123.3,151.6,0.1,0.1,28.3,23.0,—,11.3,"83,640",Bachelor's degree,None,None,OOH Content
      Statisticians,15-2041,Line item,32.4,36.2,0.0,0.0,3.8,11.8,1.3,2.3,"104,110",Master's degree,None,None,OOH Content
      Data scientists,15-2051,Line item,202.9,276.0,0.1,0.2,73.1,36.0,1.8,20.8,"108,020",Bachelor's degree,None,None,OOH Content
"      Mathematical science occupations, all other",15-2099,Line item,4.6,4.9,0.0,0.0,0.3,6.9,1.3,0.3,"70,620",Bachelor's degree,None,None,—
  Architecture and engineering occupations,17-0000,Summary,"2,639.7","2,819.7",1.6,1.6,180.0,6.8,2.3,195.0,"91,420",—,—,—,—
"    Architects, surveyors, and cartographers",17-1000,Summary,217.4,232.4,0.1,0.1,15.0,6.9,10.2,15.5,"80,850",—,—,—,—
"      Architects, except naval",17-1010,Summary,152.0,163.0,0.1,0.1,11.0,7.3,13.4,10.5,"85,800",—,—,—,—
"        Architects, except landscape and naval",17-1011,Line item,127.3,137.2,0.1,0.1,9.9,7.8,12.5,8.5,"93,310",Bachelor's degree,None,Internship/residency,OOH Content
        Landscape architects,17-1012,Line item,24.7,25.8,0.0,0.0,1.2,4.7,17.8,2.1,"79,320",Bachelor's degree,None,Internship/residency,OOH Content
"      Surveyors, cartographers, and photogrammetrists",17-1020,Summary,65.5,69.4,0.0,0.0,3.9,6.0,2.8,4.9,"70,810",—,—,—,—
        Cartographers and photogrammetrists,17-1021,Line item,12.9,13.7,0.0,0.0,0.8,6.3,1.8,1.0,"76,210",Bachelor's degree,None,None,OOH Content
        Surveyors,17-1022,Line item,52.6,55.7,0.0,0.0,3.1,5.9,3.1,4.0,"68,540",Bachelor's degree,None,Internship/residency,OOH Content
    Engineers,17-2000,Summary,"1,756.1","1,906.5",1.0,1.1,150.4,8.6,1.3,118.5,"102,660",—,—,—,—
      Aerospace engineers,17-2011,Line item,68.9,73.0,0.0,0.0,4.1,6.0,—,4.2,"130,720",Bachelor's degree,None,None,OOH Content
      Agricultural engineers,17-2021,Line item,1.9,2.0,0.0,0.0,0.1,7.8,—,0.1,"88,750",Bachelor's degree,None,None,OOH Content
      Bioengineers and biomedical engineers,17-2031,Line item,19.7,21.2,0.0,0.0,1.5,7.4,0.3,1.4,"100,730",Bachelor's degree,None,None,OOH Content
      Chemical engineers,17-2041,Line item,21.4,23.5,0.0,0.0,2.1,9.8,—,1.4,"112,100",Bachelor's degree,None,None,OOH Content
      Civil engineers,17-2051,Line item,341.8,363.9,0.2,0.2,22.1,6.5,2.1,22.9,"95,890",Bachelor's degree,None,None,OOH Content
      Computer hardware engineers,17-2061,Line item,84.1,90.2,0.1,0.1,6.1,7.2,0.8,5.0,"138,080",Bachelor's degree,None,None,OOH Content
      Electrical and electronics engineers,17-2070,Summary,287.8,313.9,0.2,0.2,26.2,9.1,0.8,19.0,"109,010",—,—,—,—
        Electrical engineers,17-2071,Line item,189.1,206.3,0.1,0.1,17.2,9.1,0.8,12.5,"106,950",Bachelor's degree,None,None,OOH Content
"        Electronics engineers, except computer",17-2072,Line item,98.7,107.6,0.1,0.1,8.9,9.1,0.7,6.5,"119,200",Bachelor's degree,None,None,OOH Content
      Environmental engineers,17-2081,Line item,41.3,44.2,0.0,0.0,2.9,6.9,0.9,3.0,"100,090",Bachelor's degree,None,None,OOH Content
"      Industrial engineers, including health and safety",17-2110,Summary,359.7,401.8,0.2,0.2,42.1,11.7,0.4,26.8,"99,500",—,—,—,—
"        Health and safety engineers, except mining safety engineers and inspectors",17-2111,Line item,23.1,24.3,0.0,0.0,1.2,5.1,0.4,1.5,"103,690",Bachelor's degree,None,None,OOH Content
        Industrial engineers,17-2112,Line item,336.6,377.5,0.2,0.2,40.9,12.2,0.4,25.2,"99,380",Bachelor's degree,None,None,OOH Content
      Marine engineers and naval architects,17-2121,Line item,10.1,11.0,0.0,0.0,0.8,8.0,—,0.9,"100,270",Bachelor's degree,None,None,OOH Content
      Materials engineers,17-2131,Line item,25.0,26.9,0.0,0.0,1.8,7.4,—,1.7,"104,100",Bachelor's degree,None,None,OOH Content
      Mechanical engineers,17-2141,Line item,291.9,323.9,0.2,0.2,32.1,11.0,1.6,19.8,"99,510",Bachelor's degree,None,None,OOH Content
"      Mining and geological engineers, including mining safety engineers",17-2151,Line item,7.1,7.3,0.0,0.0,0.1,2.0,—,0.4,"100,640",Bachelor's degree,None,None,OOH Content
      Nuclear engineers,17-2161,Line item,13.4,13.3,0.0,0.0,-0.1,-0.8,3.4,0.7,"125,460",Bachelor's degree,None,None,OOH Content
      Petroleum engineers,17-2171,Line item,20.8,21.3,0.0,0.0,0.5,2.4,—,1.2,"135,690",Bachelor's degree,None,None,OOH Content
"      Engineers, all other",17-2199,Line item,161.1,169.2,0.1,0.1,8.0,5.0,3.1,10.1,"111,970",Bachelor's degree,None,None,—
"    Drafters, engineering technicians, and mapping technicians",17-3000,Summary,666.2,680.9,0.4,0.4,14.7,2.2,2.3,61.0,"63,100",—,—,—,—
      Drafters,17-3010,Summary,204.5,203.2,0.1,0.1,-1.3,-0.6,5.1,16.9,"62,530",—,—,—,—
        Architectural and civil drafters,17-3011,Line item,112.3,113.6,0.1,0.1,1.3,1.1,1.0,9.2,"61,820",Associate's degree,None,None,OOH Content
        Electrical and electronics drafters,17-3012,Line item,23.2,24.2,0.0,0.0,1.0,4.1,10.1,2.2,"69,260",Associate's degree,None,None,OOH Content
        Mechanical drafters,17-3013,Line item,50.4,47.9,0.0,0.0,-2.5,-4.9,10.2,4.0,"64,060",Associate's degree,None,None,OOH Content
"        Drafters, all other",17-3019,Line item,18.5,17.4,0.0,0.0,-1.1,-5.7,10.1,1.5,"59,260",Associate's degree,None,None,OOH Content
"      Engineering technologists and technicians, except drafters",17-3020,Summary,404.3,417.1,0.2,0.2,12.8,3.2,0.9,36.5,"64,840",—,—,—,—
        Aerospace engineering and operations technologists and technicians,17-3021,Line item,11.0,11.9,0.0,0.0,0.9,7.9,1.2,1.1,"77,830",Associate's degree,None,None,OOH Content
        Civil engineering technologists and technicians,17-3022,Line item,66.0,67.1,0.0,0.0,1.2,1.8,0.7,5.7,"60,700",Associate's degree,None,None,OOH Content
        Electrical and electronic engineering technologists and technicians,17-3023,Line item,99.6,102.6,0.1,0.1,3.0,3.0,0.6,9.5,"72,800",Associate's degree,None,None,OOH Content
        Electro-mechanical and mechatronics technologists and technicians,17-3024,Line item,15.8,15.6,0.0,0.0,-0.2,-1.2,1.2,1.3,"65,080",Associate's degree,None,None,OOH Content
        Environmental engineering technologists and technicians,17-3025,Line item,14.2,14.5,0.0,0.0,0.3,2.3,1.0,1.2,"54,000",Associate's degree,None,None,OOH Content
        Industrial engineering technologists and technicians,17-3026,Line item,74.5,77.6,0.0,0.0,3.0,4.1,1.2,6.7,"62,610",Associate's degree,None,None,OOH Content
        Mechanical engineering technologists and technicians,17-3027,Line item,39.9,40.7,0.0,0.0,0.8,1.9,1.2,3.5,"64,020",Associate's degree,None,None,OOH Content
        Calibration technologists and technicians,17-3028,Line item,13.8,14.5,0.0,0.0,0.8,5.5,1.2,1.3,"62,790",Associate's degree,None,None,OOH Content
"        Engineering technologists and technicians, except drafters, all other",17-3029,Line item,69.5,72.6,0.0,0.0,3.1,4.4,0.9,6.3,"73,500",Associate's degree,None,None,—
      Surveying and mapping technicians,17-3031,Line item,57.4,60.6,0.0,0.0,3.2,5.6,1.6,7.6,"48,940",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"  Life, physical, and social science occupations",19-0000,Summary,"1,574.1","1,691.7",0.9,1.0,117.6,7.5,5.2,148.4,"78,280",—,—,—,—
    Life scientists,19-1000,Summary,388.8,422.4,0.2,0.2,33.6,8.6,1.4,29.1,"88,620",—,—,—,—
      Agricultural and food scientists,19-1010,Summary,37.2,40.2,0.0,0.0,2.9,7.9,—,3.1,"76,400",—,—,—,—
        Animal scientists,19-1011,Line item,2.5,2.7,0.0,0.0,0.2,7.9,—,0.2,"70,140",Bachelor's degree,None,None,OOH Content
        Food scientists and technologists,19-1012,Line item,14.5,15.7,0.0,0.0,1.3,8.9,—,1.2,"82,090",Bachelor's degree,None,None,OOH Content
        Soil and plant scientists,19-1013,Line item,20.3,21.7,0.0,0.0,1.5,7.2,—,1.7,"68,240",Bachelor's degree,None,None,OOH Content
      Biological scientists,19-1020,Summary,144.6,154.0,0.1,0.1,9.4,6.5,1.5,11.9,"91,790",—,—,—,—
        Biochemists and biophysicists,19-1021,Line item,35.7,39.0,0.0,0.0,3.2,9.0,2.2,3.1,"107,460",Doctoral or professional degree,None,None,OOH Content
        Microbiologists,19-1022,Line item,23.2,24.8,0.0,0.0,1.6,6.7,1.8,1.9,"85,470",Bachelor's degree,None,None,OOH Content
        Zoologists and wildlife biologists,19-1023,Line item,18.8,19.6,0.0,0.0,0.8,4.4,0.6,1.5,"70,600",Bachelor's degree,None,None,OOH Content
